Бычки	70,8	12,8	8,1	5,2	145
Горбуша	70,5	21	7	0	147
Камбала	79,5	16,1	2,6	0	88
Карась	78,9	17,7	1,8	0	87
Карп	79.1	16	3.6	0	96
Кета	71.3	22	5.6	0	138
Корюшка	79.8	15.5	3.2	0	91
Ледяная	81.8	15.5	1.4	0	75
Лещ	77.7	17.1	4.1	0	105
Семга	62.9	20.8	15.1	0	219
Макрурус	85	13.2	0.8	0	60
Минога	75	14.7	11.9	0	166
Минтай	80.1	15.9	0.7	0	70
Мойва	75	13.4	11.5	0	157
Навага	81.1	16.1	1	0	73
Налим	79.3	18.8	0.6	0	81
Нототения мраморная	73.4	14.8	10.7	0	156
Окунь морской	75.4	17.6	5.2	0	117
Окунь речной	79.2	18.5	0.9	0	82
Осетр	71.4	16.4	10.9	0	164
Палтус	76.9	18.9	3	0	103
Путассу	81.3	16.1	0.9	0	72
Рыба-сабля	75.2	20.3	3.2	0	110
Рыбец каспийский	77	19.2	2.4	0	98
Сазан	75.3	18.4	5.3	0	121
Сайра крупная	59.8	18.6	20.8	0	262
Сайра мелкая	71.3	20.4	0.8	0	143
Салака	75.4	17.3	5.6	0	121
Сельдь	62.7	17.7	19.5	0	242
Сиг	72.3	19	7.5	0	144
Скумбрия	71.8	18	9	0	153
Сом	75	16.8	8.5	0	144
Ставрида	74.9	18.5	5	0	119
Стерлядь	74.9	17	6.1	0	320
Судак	78.9	19	0.8	0	83
Треска	80.7	17.5	0.6	0	75
Тунец	74	22,7	0,7	0	96
Угольная рыба	71.5	13.2	11.6	0	158
Угорь морской	77.5	19.1	1.9	0	94
Угорь	53.5	14.5	30.5	0	333
Хек	79.9	16.6	2.2	0	86
Щука	70.4	18.8	0.7	0	82
Язь	80.1	18.2	0.3	0	117
Креветка дальневосточная	64,8	28,7	1,2	0	134
Печень трески	26,4	4,2	65,7	0	613
Кальмар	80,3	18	0,3	0	75
Краб	81,5	16	0,5	0	69
Креветка	77,5	18	0,8	0	83
Морская капуста	88	0,9	0,2	3,0	5
Паста "Океан"	72,2	18,9	6,8	0	137
Трепанг	89,4	7,3	0,6	0	35
