Баранина	67,6	16,3	15,3	0,0	203
Говядина	67,7	18,9	12,4	0,0	187
Конина	72,5	20,2	7,0	0,0	143
Кролик	65,3	20,7	12,9	0,0	199
Свинина нежирная	54,8	16,4	27,8	0,0	316
Свинина жирная	38,7	11,4	49,3	0,0	489
Телятина	78,0	19,7	1,2	0,0	90
Бараньи Почки	79,7	13,6	2,5	0,0	77
Баранья Печень	71,2	18,7	2,9	0,0	101
Баранье Сердце	78,5	13,5	2,5	0,0	82
Говяжьи Мозги	78,9	9,5	9,5	0,0	124
Говяжья Печень	72,9	17,4	3,1	0,0	98
Говяжьи Почки	82,7	12,5	1,8	0,0	66
Говяжье Вымя	72,6	12,3	13,7	0,0	173
Говяжье Сердце	79,0	15,0	3,0	0,0	87
Говяжий Язык	71,2	13,6	12,1	0,0	163
Почки свинные	80,1	13,0	3,1	0,0	80
Печень свинная	71,4	18,8	3,6	0,0	108
Сердце свинное	78,0	15,1	3,2	0,0	89
Язык свинной	66,1	14,2	16,8	0,0	208
Гуси	49,7	16,1	33,3	0,0	364
Индейка	64,5	21,6	12,0	0,8	197
Куры	68,9	20,8	8,8	0,6	165
Цыплята	71,3	18,7	7,8	0,4	156
Утки	51,5	16,5	61,2	0,0	346
